distance_m,method,search_seed,range_rcrb_m,angle_rcrb_deg,physical_crb_trace,minimum_achieved_rate,minimum_rate_margin,transmit_power_margin,validation_passed,wall_seconds,fitness_evaluations,solver_calls,infeasible_evaluations,waveform_file
20.0,hybrid-pso-sdr,202,0.14291092245266987,0.0011088895099539543,0.020423532130841547,5.000000004666016,4.666016018006758e-09,1.4770336065339507e-09,True,68.14345860000003,252,250,5,distance_20m/hybrid-pso-sdr_seed_202.npz
20.0,hybrid-pso-sdr,303,0.13772038260363342,0.0014118345958188856,0.01896690439167805,5.000000000570097,5.700968586097588e-10,1.3741896509600338e-10,True,65.56185819999973,252,250,4,distance_20m/hybrid-pso-sdr_seed_303.npz
20.0,hybrid-two-stage-sdr,,0.17749550257017713,0.0009962601199433399,0.03150465373498297,5.000000020315135,2.0315135351722802e-08,3.6880294373986544e-09,True,0.1429935999999543,1,1,0,distance_20m/hybrid-two-stage-sdr.npz
25.0,fully-digital-sdr,,0.05604702592737303,0.00024026495474544372,0.00314126913288835,5.000000013806995,1.3806994658693839e-08,2.415305289105163e-09,True,0.5615015000003041,1,1,0,distance_25m/fully-digital-sdr.npz
25.0,hybrid-de-sdr,101,0.2268704642475901,0.00123960428629006,0.05147020801599791,5.000000002436245,2.436244983528013e-09,3.5151828114976524e-09,True,73.26327680000031,252,251,20,distance_25m/hybrid-de-sdr_seed_101.npz
25.0,hybrid-de-sdr,202,0.21957064320031672,0.0014174049161734753,0.048211267967388366,5.000000004374365,4.374364870329828e-09,7.203425411717035e-09,True,72.24189770000066,252,250,10,distance_25m/hybrid-de-sdr_seed_202.npz
25.0,hybrid-de-sdr,303,0.23049058937521494,0.0011933172249887268,0.05312591222431098,5.000000013170562,1.3170562418451937e-08,3.203439291610266e-09,True,71.92198449999978,252,251,21,distance_25m/hybrid-de-sdr_seed_303.npz
25.0,hybrid-pso-sdr,101,0.27719968586029387,0.0009984839853298217,0.07683966614474014,5.00000004332056,4.3320559584003604e-08,7.567464876956365e-09,True,66.40438500000073,252,231,5,distance_25m/hybrid-pso-sdr_seed_101.npz
25.0,hybrid-pso-sdr,202,0.2245586379012891,0.0011203277918432968,0.050426582238418075,5.000000040921922,4.0921921851122534e-08,1.4204601939127315e-08,True,69.95544130000053,252,250,5,distance_25m/hybrid-pso-sdr_seed_202.npz
25.0,hybrid-pso-sdr,303,0.21602456236601772,0.0014708552226920409,0.0466666122044434,5.00000001237357,1.2373569724388744e-08,2.618605776660843e-09,True,70.93517559999964,252,250,4,distance_25m/hybrid-pso-sdr_seed_303.npz
